_id,name,category,phone,website,address,postal_code,municipality,city,description,geometry
80,Kew Gardens Park,Nature/ Park,416-392-2489,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=107,2075 Queen St E,M4L 1J1,former Toronto,Toronto,"Located in The Beaches, Kew Gardens act as one of Toronto's most popular picnic grounds while having access to the boardwalk on the lakeshore.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.29849, 43.66816]]}"
81,Koerner Hall (at the Telus Centre for Performance and Learning),Performing Arts,416-408-2824,https://www.rcmusic.com/about-us/telus-centre-for-performance-and-learning,273 Bloor St W,M5S 1W2,former Toronto,Toronto,"Koerner Hall is a 1,135 seat venue to provide excellent acoustic sounds for all genres of music in its ""shoebox"" designed venue.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.39639, 43.66786]]}"
82,Little Canada,Attraction,647-578-4663,https://little-canada.ca/,10 Dundas St E,M5B 2G9,former Toronto,Toronto,"This attraction is an immersive joruney through the sights, sounds and wonder of Canada on a miniature scale.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38084, 43.65669]]}"
83,Mackenzie House,Museum,416-392-6915,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/mackenzie-house/,82 Bond St,M5B 1X2,former Toronto,Toronto,"Mackenzie House is the restored home of William Lyon Mackenzie, Toronto's first Mayor. It is one of 10 museums operated by the City of Toronto.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37841, 43.65567]]}"
84,Marie Curtis Park East Beach,Nature/ Park,416-392-2489,http://app.toronto.ca/tpha/beach/1.html,2 Forty Second St,L3P 7K7,Etobicoke,Toronto,Located at the mouth of Etobicoke Creek near the foot of Forty-Second Street. Most users of this beach come from the bordering Long Branch community.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.54054, 43.58572]]}"
85,Massey Hall,Performing Arts,416-872-4255,https://www.masseyhall.com/,178 Victoria St,M5B 1T7,former Toronto,Toronto,"Declared a heritage building in  the 1970s, this live events venue acts as a performance venue for various artists.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37898, 43.65401]]}"
86,Mattamy Athletic Centre,Sports / Entertainment Venue,416-598-5960,https://www.mattamyathleticcentre.ca/,50 Carlton St,M5B 1J2,former Toronto,Toronto,"Mattamy Athletic Centre is located within Maple Leafs Garden and is home to the Ryerson Ram's basketball, hockey and volleyball teams.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38034, 43.66217]]}"
87,Medieval Times Dinner and Tournament,Performing Arts,416-260-1170,https://www.medievaltimes.com/,10 Dufferin St,M6K 3C3,former Toronto,Toronto,"A family dinner theatre featuring staged medieval-style games, sword-fighting, and jousting performed by a cast of actors and horses.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.42553, 43.63263]]}"
88,Mel Lastman Square,Landmark,416-395-7584,https://mlsquare.ca/,5100 Yonge St,M2N 5V7,North York,Toronto,"A public park featuring 20,000 square feet of open space, a garden court, an outdoor amphitheatre, fountains and a reflecting pool.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.41416, 43.76752]]}"
89,Meridian Arts Centre (formerly Toronto Centre for the Arts),Performing Arts,416-733-9388,http://www.meridianartscentre.com/,5040 Yonge St,M2N 6R8,North York,Toronto,"This venue features three unique stages to house a multitude of concerts, shows and events.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.41412, 43.76646]]}"
90,Meridian Hall (formerly Sony Centre for the Performing Arts),Performing Arts,416-368-6161,http://www.meridianhall.com/,1 Front St E,M5E 1B2,former Toronto,Toronto,"Meridian Hall is a performing arts venue with a range of events that include concerts, dance, and much more.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37608, 43.64668]]}"
91,Metro Toronto Convention Centre,Convention & Trade Centres,416-585-8000,https://www.mtccc.com/,255 Front St W,M5V 2W6,former Toronto,Toronto,"Offers more than 600,000 square feet of large exhibit, event, and meeting space.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38672, 43.64381]]}"
92,Montgomery's Inn,Museum,416-394-8113,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/montgomerys-inn/,4709 Dundas St W,M9A 1A8,Etobicoke,Toronto,"A museum that was once a historic home, visitors can delve into the lifestyle of a 19th century Irish farm family with access to the bedrooms, kitchen wing and much more.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.5257, 43.65171]]}"
93,Museum of Contemporary Canadian Art,Gallery,416-530-2500,https://moca.ca/,158 Sterling Rd,M6R 2B7,former Toronto,Toronto,"A variety of original and thought-provoking exhibitions, promoting innovative art by Canadian and international artists. Over 800 artists have been featured in more than 80 exhibitions and projects.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.44521, 43.6546]]}"
94,Museum of Illusions Toronto,Museum,416-889-2285,https://museumofillusions.ca/,132 Front St E,M5A 1E2,former Toronto,Toronto,The Museum of Illusions offers a wide array of mind-bending exhibits and optical illusions.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36963, 43.65011]]}"
95,Mysteriously Yours Mystery Dinner Theatre,Performing Arts,647-361-5114,https://mysteriouslyyours.ca/,33 Gerrard St W,M5G 1Z4,former Toronto,Toronto,Mysteriously Yours. Mystery Dinner Theatre is a murder mystery dinner theatre located in  Downtown Toronto.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38306, 43.65835]]}"
96,Native Earth Performing Arts & Aki Studio,Performing Arts,416-531-1402,https://www.nativeearth.ca/,585 Dundas St E,M5A 2B7,former Toronto,Toronto,Native Earth Performing Arts is a theatre company devoted to the artistic expression of the Indigenous experience. Located in Daniels Spectrum.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36207, 43.66006]]}"
97,Old City Hall,Landmark,416-338-0338,https://www.toronto.ca/311/knowledgebase/kb/docs/articles/Corporate-Real-Estate-Management/facilities-management/old-city-hall-toronto-courthouse.html,60 Queen St W,M5H 2M3,former Toronto,Toronto,"Old City Hall is a landmark building that was used as Toronto's second City Hall and is a great example of beautiful architecture. Today, it is used as a courthouse.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38171, 43.65251]]}"
98,Onsite Gallery [at] OCADU,Gallery,416-977-6000,https://www.ocadu.ca/gallery/onsite,199 Richmond St W,M5V 0H4,former Toronto,Toronto,Onsite [at] OCAD U provides the opportunity and space of an art gallery to exhibit students contemporary work.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38807, 43.6495]]}"
99,Osgoode Hall,Landmark,416-947-3300,https://www.osgoode.yorku.ca/,130 Queen St W,M5H 2N6,former Toronto,Toronto,"Constructed in the 19th century, Osgoode Hall acts as the judicial landmark of Toronto, with institutions like the Ontario Court of Appeal, the Law Society of Upper Canada, and the Divisional Court of the Superior Court of Justice.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38578, 43.65202]]}"
100,Polson Pier,Landmark,None,https://g.co/kgs/rY8Pkrh,11 Polson St,M5A 1A4,former Toronto,Toronto,"Located on the water, the Polson Pier is a waterfront property that includes a drive-in cinema, patio bar, concert venues, and much more.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.35559, 43.64102]]}"
101,Princess of Wales Theatre,Performing Arts,1-800-461-3333,https://www.mirvish.com/theatres/princess-of-wales-theatre,300 King St W,M5V 1J2,former Toronto,Toronto,Owned by Mirvish Productions. The Princess of Wales Theatre opened in 1993 and is the home  of many famous theatrical productions,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38919, 43.64689]]}"
102,Queen Elizabeth Theatre,Performing Arts,416-263-3293,https://queenelizabeththeatre.ca/,190 Princes' Blvd,M6K 3C3,former Toronto,Toronto,"Located at Exhibition Place, the Queen Elizabeth Theatre is an auditorium that is the venue for various entertainment events","{""type"": ""MultiPoint"", ""coordinates"": [[-79.42137, 43.63271]]}"
103,Queen's Park: Legislative Assembly of Ontario,Landmark,416-325-7500,https://www.ola.org/en/visit-learn/parliament-government/explore-queens-park,1 Queen's Park,M7A 1A2,former Toronto,Toronto,"A variety of free tour options are available all year round to visit Ontarios historic Legislative Building (iconic sandstone Richardson Romanesque style building, completed in 1893).","{""type"": ""MultiPoint"", ""coordinates"": [[-79.39159, 43.66223]]}"
104,Randolph Centre for the Arts,Performing Arts,416-924-2243,https://www.randolphcollege.ca/,736 Bathurst St,M5S 2R4,former Toronto,Toronto,The historic Randolph Theatre is a 500-seat theatre located in a former Gothic revival style church.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.41085, 43.66365]]}"
105,Redpath Sugar Museum,Museum,416-366-3561,https://www.redpathsugar.com/,95 Queens Quay E,M5E 1A3,former Toronto,Toronto,"Located inside the Redpath Refinery, the Redpath Sugar Museum is for those interested in the history of sugar, the development and the role of the Redpath family in Canada's industry sector, and much more.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37124, 43.64291]]}"
106,Ripley's Aquarium of Canada,Attraction,647-351-3474,https://www.ripleyaquariums.com/canada/,288 Bremner Blvd,M5V 3L9,former Toronto,Toronto,"Canadas largest aquarium. Interactive attractions feature over 5.7 million litres of water and more than 16,000 marine animals.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38661, 43.64217]]}"
107,Riverdale Farm,Attraction,416-392-6794,http://riverdalefarmtoronto.ca/,201 Winchester St,M4X 1B8,former Toronto,Toronto,"On 7.5 acres, Riverdale Farm is an historic working farm with many scenic pathways and farm animals.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.36173, 43.66697]]}"
108,Riverdale Park (East and West),Nature/ Park,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/343/index.html,550 Broadview Ave,M4K 2N6,former Toronto,Toronto,"A Toronto park that is great for all seasons. Riverdale Park West has three multipurpose sport fields, seven tennis courts, an outdoor ice rink, two baseball diamonds, and much more.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.35637, 43.6684]]}"
109,Rogers Centre,Sports / Entertainment Venue,416-341-1000,https://www.mlb.com/bluejays/ballpark,1 Blue Jays Way,M5V 1J4,former Toronto,Toronto,The Rogers Centre is a multipurpose venue. Home to the Toronto Blue Jays (Major League Baseball) and the Toronto Argonauts (Canadian Football League).,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38943, 43.64155]]}"
110,Rosetta McClain Gardens,Nature/ Park,416-396-7378,www.toronto.ca/data/parks/prd/facilities/complex/19/index.html,5 Glen Everest Rd,M1N 1J2,Scarborough,Toronto,"The Rosetta McClain Gardens is a great place to safely see the Scarborough Bluffs and has beautiful rose gardens. There are signs available in braille, textured paths, raised planters, and a ramp to ensure accessibility.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.25576, 43.69682]]}"
111,Rouge Beach Park,Nature/ Park,416-264-2020,https://www.toronto.ca/data/parks/prd/facilities/complex/340/index.html,195 Rouge Hills Dr,M1C 2Y9,Scarborough,Toronto,"One of Toronto's designated swimming beaches, Rouge Beach has two distinct areas a white sand beach and a marsh habitat.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.11853, 43.79314]]}"
112,Rouge National Urban Park,Nature/ Park,416-264-2020,https://www.pc.gc.ca/en/pn-np/on/rouge,25 Zoo Rd,M1B 5W8,Scarborough,Toronto,"Canada's first national park within an urban area, the park is Toronto's largest. It features hiking trails, a campground and Rouge Beach.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.17277, 43.81793]]}"
113,Rouge Valley Conservation Centre,Nature/ Park,416-282-8265,https://www.rvcc.ca/Rouge_Valley_Conservation_Centre.html,1749 Meadowvale Rd,M1B 5W8,former Toronto,Toronto,The Centre focuses on environmental restoration and research while also offering interpretive walks and educational programs for the public.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.17101, 43.81904]]}"
114,Roy Thomson Hall,Performing Arts,416-872-4255,https://www.roythomsonhall.com/,60 Simcoe St,M5J 2H5,former Toronto,Toronto,"Opened in 1982, Roy Thomson Hall is home of the Toronto Symphony Orchestra and the Toronto Mendelssohn Choir.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38641, 43.64661]]}"
115,Royal Alexandra Theatre,Performing Arts,1-800-461-3333,https://www.mirvish.com/theatres/royal-alexandra-theatre,260 King St W,M5V 1H9,former Toronto,Toronto,Owned by Mirvish Productions. The Royal Alexandra Theatre built in beaux-arts architectural style in 1907. It is home to numerous performances and performers.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38758, 43.64733]]}"
116,Royal Conservatory of Music,Performing Arts,416-408-2824,https://www.rcmusic.com/,273 Bloor St W,M5S 1W2,former Toronto,Toronto,The Toronto Conservatory of Music was founded in 1886.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.39631, 43.66796]]}"
117,Royal Ontario Museum,Museum,416-586-8000,https://www.rom.on.ca/en,100 Queen's Park,M5S 2C6,former Toronto,Toronto,"Canadas largest museum of natural history and world cultures, presents engaging galleries of art, archaeology, and natural science from around the world.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.39479, 43.66771]]}"
118,Sankofa Square (formerly known as Yonge-Dundas Square),Landmark,416-979-9960,https://www.sankofasquare.ca/,1 Dundas St E,M5B 2L6,former Toronto,Toronto,"Yonge-Dundas Square is one of the city's largest public squares. It is located directly across from the Toronto Eaton Centre. The square is home to free movie screenings, concerts, shows and exhibits.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38043, 43.65593]]}"
119,Sarah and Chaim Neuberger Holocaust Education Centre,Museum,416-631-5689,https://www.holocaustcentre.com/,4588 Bathurst St,M2R 1W6,North York,Toronto,"The Sarah and Chaim Neuberger Holocaust Education Centre provides all its visitors a complete understanding of the Holocaust.30, 000 students pass through its doors during educational trips.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.44186, 43.76411]]}"
120,Scarborough Museum,Museum,416-338-8807,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/scarborough-museum/,1007 Brimley Rd,M1P 3E8,Scarborough,Toronto,The Scarborough Museum and its gardens are located within Thomson Memorial Park.It is one of 10 museums operated by the City of Toronto.The Museum looks back on the story of Scarborough's roots and history.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.25482, 43.75761]]}"
121,Scarborough Village Theatre,Performing Arts,416-267-9292,https://theatrescarborough.com/,3600 Kingston Rd,M1M 1R9,Scarborough,Toronto,"Theatre Scarborough is an umbrella organization consisting of Scarborough Music Theatre, Scarborough Players, and Scarborough Theatre Guild. Performances take place at the Scarborough Village Community Centre.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.21692, 43.73983]]}"
122,Scotiabank Arena,Sports / Entertainment Venue,416-815-5982,https://www.scotiabankarena.com/,40 Bay St,M5J 2X2,former Toronto,Toronto,"The Scotiabank Arena is a multi-purpose indoor sporting arena and concert venue. It is the home of the Toronto Maple Leafs Hockey Club, the Toronto Raptors basketball team, and the Toronto Rock Lacrosse team.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.3791, 43.64346]]}"
123,Soulpepper Theatre Company,Performing Arts,416-866-8666,https://www.soulpepper.ca/,50 Tank House Lane,M5A 3C4,former Toronto,Toronto,Soulpepper is a not-for-profit theatre company that offers plays and concerts with a focus on training and youth projects.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.352772, 43.65084]]}"
124,Spadina Museum,Museum,416-392-6910,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/spadina-museum/,285 Spadina Rd,M5R 2V5,former Toronto,Toronto,"Operated by the City of Toronto, the Spadina Museum is a historic manor house that allows visitors to learn about the history and architecture of  late 19th century to early 20th century Toronto.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.40818, 43.67898]]}"
125,St. James Park,Nature/ Park,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/408/index.html,120 King St E,M5C 1G6,former Toronto,Toronto,"A large green space, home to a Victorian garden, live performances, and is a popular spot for photos. The park is adjacent to historic St. James Cathedral.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37306, 43.65083]]}"
126,St. Lawrence Centre for the Arts,Performing Arts,416-366-1656,https://tolive.com/Home-Page,27 Front St E,M5E 1B4,former Toronto,Toronto,"Home to  two theatres, the Bluma Appel Theatre and the Jane Mallett Theatre, the St. Lawrence Centre for the Arts is the home to various artistic and public events.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37531, 43.64753]]}"
127,St. Lawrence Market and Market Gallery,Attraction,416-392-7220,http://www.stlawrencemarket.com/,93 Front St E,M5E 1C3,former Toronto,Toronto,"Voted best fresh food market in the world by National Geographic in 2012, Torontos historic and premier market also includes The Market Gallery, housed within part of Torontos original 19th century City Hall.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37156, 43.6487]]}"
128,Steam Whistle Brewery,Attraction,416-362-2337,https://steamwhistle.ca/,255 Bremner Blvd,M5V 3M9,former Toronto,Toronto,"A microbrewery located in downtown Toronto, Steam Whistle Brewery produces a premium pale lager composed of only four ingredients.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.3857, 43.64067]]}"
129,Sugar Beach Park,Nature/ Park,416-396-7378,https://www.toronto.ca/data/parks/prd/facilities/complex/2261/index.html,11 Dockside Dr,M5A 0B6,former Toronto,Toronto,Sugar Beach is one of Toronto's urban beach parks. Famous for its pink umbrellas and Muskoka chairs.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36743, 43.6429]]}"
130,Sunnyside Beach,Nature/ Park,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/394/index.html,1755 Lake Shore Blvd W,M6S 5A3,former Toronto,Toronto,"One of Toronto's designated swimming beaches, Sunnyside Beach provides rowers and paddlers calm waters with an offshore break wall.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.45703, 43.63738]]}"
131,Taras H. Shevchenko Museum,Museum,416-534-8662,https://www.shevchenko.ca/,1604 Bloor St W,M6P 1A7,former Toronto,Toronto,The Taras H. Shevchenko Museum is the home to  exhibitions dedicated to the contribution of Ukrainians in Canada and the life of famed writer Taras Shevchenko.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.45524, 43.65599]]}"
132,Tarragon Theatre,Performing Arts,416-531-1827,https://tarragontheatre.com/,30 Bridgman Ave,M5R 1X3,former Toronto,Toronto,The Tarragon Theatre is a performing arts centre  notable for the development of playwrights. Over 170 works have premiered at the theatre.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.41287, 43.67494]]}"
133,Textile Museum of Canada,Museum,416-599-5321,https://textilemuseum.ca/,55 Centre Ave,M5G 2H5,former Toronto,Toronto,"With more than 13,000 objects from more than 200 countries and regions, the Textile Museum of Canada celebrates cultural diversity through traditional fabrics, garments, carpets and related artifacts such as beadwork and basketry.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38674, 43.65447]]}"
134,The 48th Highlanders Museum,Museum,416-596-1382,https://museum.48thhighlanders.ca/,73 Simcoe St,M5J 1W9,former Toronto,Toronto,"This museum is dedicated to one of Canada's famous military regiments. The museum holds historical artifacts dating from Victorian Toronto in 1891, when the 48th Highlanders was formed, to the present day.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38571, 43.64735]]}"
135,The Danforth Music Hall,Performing Arts,416-778-8163,http://thedanforth.com/,147 Danforth Ave,M4K 1N2,former Toronto,Toronto,"The Music Hall boasts new theatre seats, state-of-art sound and lighting and a completely renovated backstage area.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.357, 43.67623]]}"
136,The Distillery Historic District,Landmark,647-693-4646,https://www.thedistillerydistrict.com/,55 Mill St,M5A 3C4,former Toronto,Toronto,"A pedestrian-only historic area that represents the largest and best preserved collection of Victorian Industrial Architecture in North America. The refurbished warehouses are now home to restaurants, bars, galleries, studios, and a theatre.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.35915, 43.65024]]}"
137,The Image Centre (formerly known as Ryerson Image Centre),Gallery,416-979-5164,https://theimagecentre.ca/,33 Gould St,M5B 1E9,former Toronto,Toronto,"The RIC is dedicated to the public exhibition, research, study and teaching of photography including, installation art and film and media.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37938, 43.65769]]}"
138,The Japan Foundation,Museum,416-966-1600,https://tr.jpf.go.jp/,2 Bloor St E,M4W 1A8,former Toronto,Toronto,A cultural establishment aiming towards effective development of its international cultural exchange programs in Japanese arts and cultural exchange.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38651, 43.6708]]}"
139,The Power Plant Contemporary Art Gallery,Gallery,416-973-4949,http://www.thepowerplant.org/,231 Queens Quay W,M5J 2G8,former Toronto,Toronto,"Dedicated to contemporary art, the Power Plant is a free public gallery located at the Harbourfront Centre.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38187, 43.63847]]}"
140,The Second City,Performing Arts,1-800-896-8120,https://www.secondcity.com/toronto/,1 York St,M5J 0B6,former Toronto,Toronto,Second City produces premiere comedy performances and operates a training centre.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38037, 43.64157]]}"
141,The Theatre Centre,Performing Arts,416-538-0988,http://theatrecentre.org/,1115 Queen St W,M6J 1J1,former Toronto,Toronto,"The Theatre Centre supports artists who wish to develop works of an experimental or alternative nature. All their artists embrace the visual arts, music, dance and new media.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.42327, 43.643]]}"
142,The Village Players,Performing Arts,416-767-7702,http://www.villageplayers.net/,2190 Bloor St W,M6S 1N3,former Toronto,Toronto,"The Village Playhouse a non-profit theatre group that opened its doors in 1974 and has since produced plays such as Cat on a Hot Tin Roof, Amadeus and Dial 'M' For Murder.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.47476, 43.65171]]}"
143,The Well,Landmark,416-203-7777,https://thewelltoronto.com/,486 Front St W,M5V 0V2,former Toronto,Toronto,"The Well opened in 2023, offering diverse dining experiences, retail stores and unique architecture.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.39579, 43.64279]]}"
144,Theatre Passe Muraille,Performing Arts,416-504-7529,http://passemuraille.ca/,16 Ryerson Ave,M5T 2P3,former Toronto,Toronto,Theatre Passe Muraille was Canadas original alternative theatre company. 600 Canadian plays have been produced since the company was founded in 1968.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4025, 43.64856]]}"
145,Thompson Landry Gallery - Stone Building & Cooperage Space,Gallery,416-364-4955,http://www.thompsonlandry.com/,32 Distillery Lane,M5A 3C4,former Toronto,Toronto,"The Thompson Landry Gallery is spread out over 6,000 square feet and showcases artwork from internationally acclaimed contemporary Quebec artists. The gallery opened in 2009 and is situated within the Distillery District's Cooperage Building.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.36019, 43.64974]]}"
146,TIFF Bell Lightbox,Landmark,416-599-2033,https://www.tiff.net/,350 King St W,M5V 3X5,former Toronto,Toronto,"The TIFF Bell Lightbox is the home of the Toronto International Film Festival and a year-round destination for unique screenings, themed festivals, and exhibitions. It also houses two restaurants.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.3905, 43.64654]]}"
147,Todmorden Mills Heritage Site,Landmark,416-396-2819,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/todmorden-mills/,67 Pottery Rd,M4K 2B9,East York,Toronto,Todmorden Mills Heritage Site is situated within the Don Valley and is located beside a 9.2 hectare wildflower preserve. It features historic buildings such as the Brewery building and the Papermill theatre and gallery.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36024, 43.68647]]}"
148,Tommy Thompson Park,Nature/ Park,416-661-6600,https://tommythompsonpark.ca/,1 Leslie St,M4M 3M2,former Toronto,Toronto,"This narrow peninsula park is a perfect place for hiking, jogging, cycling and birdwatching, with 10km of paved trails.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.32487, 43.63519]]}"
149,Toronto Botanical Gardens and Edwards Gardens,Nature/ Park,416-397-1341,https://torontobotanicalgarden.ca/,777 Lawrence Ave E,M3C 1P2,North York,Toronto,"Located at the stunning Edwards Gardens, Toronto Botanical Garden features award-winning themed gardens and an indoor education/interpretation facility.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.35817, 43.73415]]}"
150,Toronto City Hall and Nathan Phillips Square,Landmark,416-392-2489,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-city-facilities/city-hall/,100 Queen St W,M5H 2N1,former Toronto,Toronto,"Toronto's City Hall is one of Toronto's best known and visited landmarks. Nathan Phillips Square located directly in front of City Hall, is the site of  the iconic Toronto sign, concerts, farmers' markets, and iconic events.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38369, 43.65303]]}"
151,Toronto Congress Centre,Convention & Trade Centres,416-245-5000,https://www.torontocongresscentre.com/,650 Dixon Rd,M9W 1J1,Etobicoke,Toronto,"The Toronto Congress Centre opened in 1995 and now features over 1 million square feet of space for galas, meetings, trade shows and conventions,","{""type"": ""MultiPoint"", ""coordinates"": [[-79.57834, 43.69238]]}"
152,Toronto Island Park,Nature/ Park,416-392-2489,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park/,1 Centre Island Pk,,former Toronto,Toronto,"The Toronto Island Park is North America's largest car free neighbourhood and is only a short ferry ride away from downtown Toronto. The park is features several attractions, beaches, restaurants, bike and boat rentals and plenty of open green space.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37469, 43.62256]]}"
153,Toronto Metropolitan University Theatre (formerly known as Ryerson Theatre),Performing Arts,416-979-5009,https://www.torontomu.ca/performance/,43 Gerrard St E,M5G 2A7,former Toronto,Toronto,"Ryerson Theatre is home to various productions which includes concerts, film presentations, and Ryerson Theatre and Fashion Schools productions.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37993, 43.65929]]}"
154,Toronto Music Garden,Nature/ Park,416-973-4000,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1707&title=Toronto-Music-Garden,479 Queens Quay W,M5V 3M8,former Toronto,Toronto,The Toronto Music Garden is situated on Toronto's newly revamped waterfront. The garden was designed by landscape designer Julie Moir Messervy and by the cellist Yo Yo Ma.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3943, 43.63694]]}"
155,Toronto Pearson International Airport,Transportation,416-247-7678,https://www.torontopearson.com/en,6301 Silver Dart Dr,L5P 1B2,,Mississauga,Canadas busiest airport with flights to over 180 destinations around the globe.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.6285, 43.67983]]}"
156,Toronto Police Museum & Discovery Centre,Museum,416-808-7020,https://www.tps.ca/museum/,40 College St,M5G 2J3,former Toronto,Toronto,"The Toronto Police Museum & Discovery Centre occupies 3,000 square feet within the Police Headquarters building on College Street. The museum solely relies on private donations and is a not for profit registered charity.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38482, 43.66122]]}"
157,Toronto Railway Museum,Museum,416- 214-9229,https://torontorailwaymuseum.com/,255 Bremner Blvd,M5V 3M9,former Toronto,Toronto,"The Toronto Railway Museum encompasses the Canadian Pacific Railway John Street Roundhouse at Roundhouse Park and features a restored turntable, a number of trains and the 1896 Canadian Pacific Don Station.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38595, 43.64071]]}"
158,Toronto Reference Library,Landmark,416-395-5577,https://www.torontopubliclibrary.ca/torontoreferencelibrary/,789 Yonge St,M4W 2G8,former Toronto,Toronto,The Toronto Reference Library is situated in a 5 storey building within the Yorkville neighbourhood. It is the largest public reference library in Canada.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38682, 43.67179]]}"
159,Toronto Sculpture Garden,Featured Park,647-458-5657,https://www.toronto.ca/explore-enjoy/history-art-culture/public-art/public-art-monuments-collection/comp-sculpture-garden/,115 King St E,M5C 1G6,former Toronto,Toronto,Since 1981 this small urban park has featured contemporary sculpture installations by various artists.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37366, 43.64984]]}"
